player_id,name,team,season,approximate_value
AlleNi00,Nick Allegretti,kan,2021,1
AndeZa02,Zayne Anderson,kan,2021,0
BakeDe00,Deandre Baker,kan,2021,1
BellBl00,Blake Bell,kan,2021,1
BlytAu00,Austin Blythe,kan,2021,0
BoltNi00,Nick Bolton,kan,2021,6
BootDi00,Dicaprio Bootle,kan,2021,0
BrouCo00,Cortez Broughton,kan,2021,0
BrowOr00,Orlando Brown Jr.,kan,2021,13
BurtMi00,Michael Burton,kan,2021,0
ButkHa00,Harrison Butker,kan,2021,4
ClarFr01,Frank Clark,kan,2021,9
DannMi00,Michael Danna,kan,2021,3
EdwaCl00,Clyde Edwards-Helaire,kan,2021,5
FentRa00,Rashad Fenton,kan,2021,3
FortJo01,Jody Fortson,kan,2021,0
FounDa00,Daurice Fountain,kan,2021,0
FryxEl01,Elliott Fry,kan,2021,0
GayJWi00,Willie Gay Jr.,kan,2021,5
GordJo02,Josh Gordon,kan,2021,0
GoreDe00,Derrick Gore,kan,2021,3
GrayNo00,Noah Gray,kan,2021,0
GrifNa00,Nakia Griffin-Stewart,kan,2021,0
HardMe00,Mecole Hardman,kan,2021,7
HarrDa07,Darius Harris,kan,2021,0
HarrDe06,Demone Harris,kan,2021,0
HennCh01,Chad Henne,kan,2021,0
HillTy00,Tyreek Hill,kan,2021,12
HitcAn00,Anthony Hitchens,kan,2021,6
HughMi00,Mike Hughes,kan,2021,3
HumpCr00,Creed Humphrey,kan,2021,9
IngrMe00,Melvin Ingram,kan,2021,3
JackJo01,Josh Jackson,kan,2021,0
JoneCh09,Chris Jones,kan,2021,12
KainJo00,Joshua Kaindoh,kan,2021,0
KelcTr00,Travis Kelce,kan,2021,11
KempMa00,Marcus Kemp,kan,2021,0
LammCh00,Chris Lammons,kan,2021,1
MahoPa00,Patrick Mahomes,kan,2021,18
MathTy00,Tyrann Mathieu,kan,2021,8
McKiJe00,Jerick McKinnon,kan,2021,1
NianLu00,Lucas Niang,kan,2021,6
NiemBe00,Ben Niemann,kan,2021,3
NnadDe00,Derrick Nnadi,kan,2021,5
ODanDo00,Dorian O'Daniel,kan,2021,1
OkafAl00,Alex Okafor,kan,2021,1
PrinBy00,Byron Pringle,kan,2021,5
ReedJa02,Jarran Reed,kan,2021,7
RemmMi00,Mike Remmers,kan,2021,1
RobiDe01,Demarcus Robinson,kan,2021,2
RozeCh00,Christian Rozeboom,kan,2021,0
SaunKh00,Khalen Saunders,kan,2021,0
SmitTr05,Trey Smith,kan,2021,10
SneeLJ00,L'Jarius Sneed,kan,2021,5
SoreDa01,Daniel Sorensen,kan,2021,3
ThorJu00,Juan Thornhill,kan,2021,4
ThunJo00,Joe Thuney,kan,2021,9
TownJo01,Johnny Townsend,kan,2021,0
TownTo01,Tommy Townsend,kan,2021,2
WanoTe00,Prince Tega Wanogho,kan,2021,0
WardCh01,Charvarius Ward,kan,2021,4
WattAr00,Armani Watts,kan,2021,1
WharTe00,Tershawn Wharton,kan,2021,2
WillDa10,Darrel Williams,kan,2021,8
WincJa00,James Winchester,kan,2021,1
WyliAn00,Andrew Wylie,kan,2021,5
