player_id,name,team,season,approximate_value
AckeKe00,Kenneth Acker,kan,2016,1
AlexD.00,D.J. Alexander,kan,2016,4
BailAl00,Allen Bailey,kan,2016,2
BarnT.00,T.J. Barnes,kan,2016,0
BarrSa00,Sam Barrington,kan,2016,0
BerrEr99,Eric Berry,kan,2016,13
CharJa00,Jamaal Charles,kan,2016,0
ColqDu20,Dustin Colquitt,kan,2016,2
ConlCh00,Chris Conley,kan,2016,5
DaviKn00,Knile Davis,kan,2016,0
DeveJo00,Jordan Devey,kan,2016,0
DuveLa00,Laurent Duvernay-Tardif,kan,2016,5
EhinPa00,Parker Ehinger,kan,2016,2
FishEr00,Eric Fisher,kan,2016,6
FoleNi00,Nick Foles,kan,2016,1
FordDe00,Dee Ford,kan,2016,7
FultZa00,Zach Fulton,kan,2016,5
GainPh00,Phillip Gaines,kan,2016,2
HaliTa20,Tamba Hali,kan,2016,3
HarrDe03,Demetrius Harris,kan,2016,1
HillTy00,Tyreek Hill,kan,2016,10
HousJu00,Justin Houston,kan,2016,3
HowaJa00,Jaye Howard,kan,2016,3
JenkJa01,Jarvis Jenkins,kan,2016,1
JohnDe25,Derrick Johnson,kan,2016,7
JoneCh09,Chris Jones,kan,2016,6
KelcTr00,Travis Kelce,kan,2016,10
KingDa00,David King,kan,2016,0
MaclJe00,Jeremy Maclin,kan,2016,5
MarcJu00,Justin March,kan,2016,2
MitcTe00,Terrance Mitchell,kan,2016,1
MorsMi00,Mitch Morse,kan,2016,6
MoseDe00,Dezman Moses,kan,2016,0
MurrEr00,Eric Murray,kan,2016,1
NelsSt01,Steven Nelson,kan,2016,5
NicoDa00,Dadi Nicolas,kan,2016,1
NuneRa00,Rakeem Nunez-Roches,kan,2016,3
O'ShJa00,James O'Shaughnessy,kan,2016,0
ParkRo01,Ron Parker,kan,2016,6
PeteMa00,Marcus Peters,kan,2016,16
PoexDo00,Dontari Poe,kan,2016,7
ReidJa00,Jah Reid,kan,2016,1
ReyeKe00,Kendall Reyes,kan,2016,1
RobiDe01,Demarcus Robinson,kan,2016,0
SantCa01,Cairo Santos,kan,2016,3
SchwMi00,Mitchell Schwartz,kan,2016,10
SherAn00,Anthony Sherman,kan,2016,0
SmitAl03,Alex Smith,kan,2016,12
