player_id,name,team,season,approximate_value
AnudFe00,Felix Anudike-Uzomah,kan,2024,3
AraiMa00,Matt Araiza,kan,2024,3
BoltNi00,Nick Bolton,kan,2024,8
BozeSw00,Swayze Bozeman,kan,2024,0
BrowMa04,Marquise Brown,kan,2024,1
BushDe00,Deon Bush,kan,2024,0
ButkHa00,Harrison Butker,kan,2024,2
CaliMi00,Mike Caliendo,kan,2024,2
ChenLe00,Leo Chenal,kan,2024,6
ChriCo00,Cole Christiansen,kan,2024,1
CochJa00,Jack Cochrane,kan,2024,1
ConnCh01,Chamarri Conner,kan,2024,4
CookBr02,Bryan Cook,kan,2024,6
CuppBa00,Baylor Cupp,kan,2024,0
DannMi00,Michael Danna,kan,2024,5
DrisEt00,Ethan Driskell,kan,2024,0
FirkAn00,Anthony Firkser,kan,2024,0
FortJo01,Jody Fortson,kan,2024,0
GrayNo00,Noah Gray,kan,2024,4
HansCJ00,C.J. Hanson,kan,2024,0
HardMe00,Mecole Hardman,kan,2024,1
HendPe01,Peyton Hendershot,kan,2024,0
HerrMa02,Malik Herring,kan,2024,1
HickJa01,Jaden Hicks,kan,2024,2
HopkDe00,DeAndre Hopkins,kan,2024,4
HumpCr00,Creed Humphrey,kan,2024,12
HumpD.00,D.J. Humphries,kan,2024,1
HuntKa00,Kareem Hunt,kan,2024,5
IngrKe01,Keaontay Ingram,kan,2024,0
JohnNa01,Nazeeh Johnson,kan,2024,2
JoneCa04,Cam Jones,kan,2024,2
JoneCh09,Chris Jones,kan,2024,16
JoneNi00,Nic Jones,kan,2024,0
KarlGe00,George Karlaftis III,kan,2024,6
KelcTr00,Travis Kelce,kan,2024,8
LyncBl00,Blake Lynch,kan,2024,0
MahoPa00,Patrick Mahomes,kan,2024,14
McDuTr00,Trent McDuffie,kan,2024,11
MoorSk01,Skyy Moore,kan,2024,0
MorrWa01,Wanya Morris,kan,2024,5
NnadDe00,Derrick Nnadi,kan,2024,2
NourHu00,Hunter Nourzad,kan,2024,1
OladCh00,Chris Oladokun,kan,2024,0
OmenCh00,Charles Omenihu,kan,2024,1
PachIs00,Isiah Pacheco,kan,2024,3
PennMi00,Mike Pennel,kan,2024,4
PeriSa00,Samaje Perine,kan,2024,4
ReidJu00,Justin Reid,kan,2024,5
RemiNi00,Nikko Remigio,kan,2024,0
RiceRa01,Rashee Rice,kan,2024,3
RolaCh00,Christian Roland-Wallace,kan,2024,2
RossJu00,Justyn Ross,kan,2024,0
ShraSp00,Spencer Shrader,kan,2024,1
SmitTr05,Trey Smith,kan,2024,8
SmitJu00,JuJu Smith-Schuster,kan,2024,2
SteeCa00,Carson Steele,kan,2024,1
SuamKi00,Kingsley Suamataia,kan,2024,2
TaylJa02,Jawaan Taylor,kan,2024,7
TaylKe03,Keith Taylor,kan,2024,1
ThomCa03,Cameron Thomas,kan,2024,0
ThunJo00,Joe Thuney,kan,2024,12
TranDr00,Drue Tranquill,kan,2024,8
TuipMa00,Marlon Tuipulotu,kan,2024,0
UcheJo00,Josh Uche,kan,2024,0
WashMo00,Montrell Washington,kan,2024,0
WatsJa02,Jaylen Watson,kan,2024,2
WatsJu01,Justin Watson,kan,2024,3
WentCa00,Carson Wentz,kan,2024,0
WharTe00,Tershawn Wharton,kan,2024,5
WileJa00,Jared Wiley,kan,2024,0
WillJo03,Joshua Williams,kan,2024,2
WincJa00,James Winchester,kan,2024,1
WortXa00,Xavier Worthy,kan,2024,7
WrigMa00,Matthew Wright,kan,2024,1
AbduYa00,Yasir Abdullah,jax,2024,2
ArmsAr01,Arik Armstead,jax,2024,1
BigsTa00,Tank Bigsby,jax,2024,5
BrasCh00,Christian Braswell,jax,2024,0
BrowMo00,Montaric Brown,jax,2024,4
CampTy01,Tyson Campbell,jax,2024,4
CephJo00,Joshua Cephus,jax,2024,0
CiscAn00,Andre Cisco,jax,2024,5
ClevEz00,Ezra Cleveland,jax,2024,6
ColeMy00,Myles Cole,jax,2024,0
ColeDJ00,DJ Coleman,jax,2024,0
CookLo00,Logan Cooke,jax,2024,4
CookEl00,Elijah Cooks,jax,2024,0
DarbRo00,Ronald Darby,jax,2024,4
DaviGa01,Gabriel Davis,jax,2024,2
DeguJo00,Josiah Deguara,jax,2024,0
DuveDe00,Devin Duvernay,jax,2024,1
EdmuTe00,Terrell Edmunds,jax,2024,0
EngrEv00,Evan Engram,jax,2024,3
EtieTr00,Travis Etienne,jax,2024,5
FarrLu00,Luke Farrell,jax,2024,1
FlowTr01,Tre Flowers,jax,2024,0
FortLu01,Luke Fortner,jax,2024,1
FostJa01,Javon Foster,jax,2024,0
GaziJo01,Joe Gaziano,jax,2024,0
GileJo01,Joe Giles-Harris,jax,2024,0
HamiDa02,DaVon Hamilton,jax,2024,5
HancBl00,Blake Hance,jax,2024,1
HarrAn00,Anton Harrison,jax,2024,7
AlleJo03,Josh Hines-Allen,jax,2024,7
HodgCo00,Cooper Hodges,jax,2024,1
JackMa04,Matthew Jackson,jax,2024,0
JeffJo01,Jordan Jefferson,jax,2024,1
JohnAn07,Antonio Johnson,jax,2024,3
JohnCa04,Caleb Johnson,jax,2024,1
JohnDE04,D'Ernest Johnson,jax,2024,2
JoneJa14,Jarrian Jones,jax,2024,2
JoneMa05,Mac Jones,jax,2024,3
JoneTi00,Tim Jones,jax,2024,0
KirkCh01,Christian Kirk,jax,2024,3
LacyTy00,Tyler Lacy,jax,2024,3
LawrTr00,Trevor Lawrence,jax,2024,6
LedbJe00,Jeremiah Ledbetter,jax,2024,2
LittCa00,Cam Little,jax,2024,5
LittWa00,Walker Little,jax,2024,3
LloyDe00,Devin Lloyd,jax,2024,6
MatiRo00,Ross Matiscik,jax,2024,2
MillVe00,Ventrell Miller,jax,2024,4
MorsMi00,Mitch Morse,jax,2024,6
MumaCh00,Chad Muma,jax,2024,2
MuseTa00,Tanner Muse,jax,2024,0
OluoFo00,Foyesade Oluokun,jax,2024,5
OtomEs00,Esezi Otomewo,jax,2024,1
PittAn01,Anthony Pittman,jax,2024,0
PrinDe01,Deantre Prince,jax,2024,1
ReynJo00,Josh Reynolds,jax,2024,0
RobeRo00,Roy Robertson-Harris,jax,2024,1
RobiCa00,Cam Robinson,jax,2024,3
RobiKe03,Keilan Robinson,jax,2024,0
SavaDa00,Darnell Savage Jr.,jax,2024,4
ScheBr00,Brandon Scherff,jax,2024,6
SmitMa07,Maason Smith,jax,2024,2
StraBr00,Brenton Strange,jax,2024,3
ThomBr06,Brian Thomas,jax,2024,11
ThomDa07,Daniel Thomas,jax,2024,1
TramAu00,Austin Trammell,jax,2024,0
VanxCo00,Cole Van Lanen,jax,2024,1
WalkTr03,Travon Walker,jax,2024,8
WashPa01,Parker Washington,jax,2024,4
WingAn01,Andrew Wingard,jax,2024,1
BarnAm00,Amare Barno,car,2024,0
BartSh00,Shemar Bartholomew,car,2024,0
BlacRa00,Raheem Blackshear,car,2024,1
BoonMi00,Mike Boone,car,2024,0
BrooJo02,Jonathon Brooks,car,2024,0
BrowDe05,Derrick Brown,car,2024,0
CastTa00,Tariq Castro-Fields,car,2024,0
CherCl00,Claudin Cherelus,car,2024,1
ChisDa00,Dan Chisena,car,2024,0
ChriBr00,Brady Christensen,car,2024,3
ClowJa00,Jadeveon Clowney,car,2024,5
CokeJa01,Jalen Coker,car,2024,4
CorbAu00,Austin Corbett,car,2024,2
CrumJa00,Jaden Crumedy,car,2024,0
DaltAn00,Andy Dalton,car,2024,1
DysoKe01,Kenny Dyson,car,2024,0
EkwoIk00,Ikem Ekwonu,car,2024,7
EvanAk00,Akayleb Evans,car,2024,0
FarlCa00,Caleb Farley,car,2024,1
FranSa00,Sam Franklin,car,2024,0
FranFe00,Feleipe Franks,car,2024,0
FullJo01,Jordan Fuller,car,2024,2
GillCa00,Cam Gill,car,2024,1
HarrCh03,Charles Harris,car,2024,2
HarrJo05,Jonathan Harris,car,2024,1
HaynMa01,Marquis Haynes,car,2024,0
HekkJo00,Johnny Hekker,car,2024,3
HillTr01,Troy Hill,car,2024,1
HornJa00,Jaycee Horn,car,2024,6
HubbCh01,Chuba Hubbard,car,2024,9
HuntRo01,Robert Hunt,car,2024,8
IncoTh00,Thomas Incoom,car,2024,0
JackDa02,Dane Jackson,car,2024,1
JackMi01,Michael Jackson,car,2024,5
JackTa02,Tarron Jackson,car,2024,0
JansJ.00,J.J. Jansen,car,2024,1
JeweJo00,Josey Jewell,car,2024,5
JohnDi01,Diontae Johnson,car,2024,3
JohnDJ00,DJ Johnson,car,2024,1
JohnLo01,Lonnie Johnson Jr.,car,2024,1
JoneVe00,Velus Jones Jr.,car,2024,0
KingJa02,Jarrett Kingston,car,2024,0
LawsSh00,Shaq Lawson,car,2024,0
LegeXa00,Xavier Legette,car,2024,5
LeotEk00,Eku Leota,car,2024,0
LewiDa05,Damien Lewis,car,2024,6
MattJo00,Jordan Matthews,car,2024,0
MaysCa00,Cade Mays,car,2024,3
MingJo00,Jonathan Mingo,car,2024,1
MoorDa03,David Moore,car,2024,3
MotoTa00,Taylor Moton,car,2024,7
NijmYo01,Yosh Nijman,car,2024,2
PeevJa00,Jayden Peevy,car,2024,0
PineEd00,Eddy Pi̱eiro,car,2024,3
QuarSh00,Shaquille Quarterman,car,2024,0
RayxLa02,LaBryan Ray,car,2024,3
RaymAn00,Andrew Raym,car,2024,0
RhatJo00,Jon Rhattigan,car,2024,1
RichDe03,Demani Richardson,car,2024,2
RobeSa00,Sam Roberts,car,2024,0
RobiAS00,A'Shawn Robinson,car,2024,5
RobiJa03,Jammie Robinson,car,2024,0
SandJa01,Ja'Tavion Sanders,car,2024,3
SandMi01,Miles Sanders,car,2024,3
ScotNi01,Nick Scott,car,2024,1
SherJa01,Jamie Sheriff,car,2024,0
SmitTJ00,T.J. Smith,car,2024,0
SmitCh05,Chau Smith-Wade,car,2024,2
SullSt00,Stephen Sullivan,car,2024,0
ThieAd00,Adam Thielen,car,2024,6
ThomIa00,Ian Thomas,car,2024,0
ThomDe07,Deven Thompkins,car,2024,0
ThomSh01,Shaq Thompson,car,2024,1
ThurNi00,Nick Thurman,car,2024,2
TremTo00,Tommy Tremble,car,2024,2
TuttSh00,Shy Tuttle,car,2024,5
WallTr00,Trevin Wallace,car,2024,3
WaltBr01,Brandon Walton,car,2024,0
WillDe04,DeShawn Williams,car,2024,1
WindJa00,Jacoby Windmon,car,2024,1
WonnDJ00,D.J. Wonnum,car,2024,3
WoodXa00,Xavier Woods,car,2024,5
WootCh00,Chandler Wooten,car,2024,1
YeasRu00,Russ Yeast,car,2024,0
YounBr01,Bryce Young,car,2024,8
ZavaCh00,Chandler Zavala,car,2024,2
AghoNe00,Nelson Agholor,rav,2024,2
AlixRa00,Rasheen Ali,rav,2024,0
AndrMa00,Mark Andrews,rav,2024,7
ArmoJa00,Jalyn Armour-Davis,rav,2024,1
AumaMa00,Malaesala Aumavae-Laulu,rav,2024,0
BateRa00,Rashod Bateman,rav,2024,8
BoarCh00,Chris Board,rav,2024,2
BradBe01,Beau Brade,rav,2024,0
ClevBe00,Ben Cleveland,rav,2024,1
CollCh01,Chris Collier,rav,2024,0
CoopBu00,Bump Cooper,rav,2024,0
FaalDa00,Daniel Faalele,rav,2024,9
FlowZa00,Zay Flowers,rav,2024,11
HamiKy00,Kyle Hamilton,rav,2024,8
HarrMa06,Malik Harrison,rav,2024,3
HarrDe07,Deonte Harty,rav,2024,0
HenrDe00,Derrick Henry,rav,2024,16
HillJu00,Justice Hill,rav,2024,5
HollKa00,Ka'dar Hollman,rav,2024,0
HumpMa00,Marlon Humphrey,rav,2024,12
IsaaAd00,Adisa Isaac,rav,2024,0
JackEd01,Eddie Jackson,rav,2024,1
JackLa00,Lamar Jackson,rav,2024,21
JohnDi01,Diontae Johnson,rav,2024,0
JohnJo05,Josh Johnson,rav,2024,0
