player_id,name,team,season,approximate_value
AlleJe01,Jeff Allen,kan,2018,4
BailAl00,Allen Bailey,kan,2018,7
BenjKe00,Kelvin Benjamin,kan,2018,0
BerrEr99,Eric Berry,kan,2018,0
ButkHa00,Harrison Butker,kan,2018,4
ColqDu20,Dustin Colquitt,kan,2018,2
ConlCh00,Chris Conley,kan,2018,4
DeveJo00,Jordan Devey,kan,2018,2
DietGe00,Gehrig Dieter,kan,2018,0
DuveLa00,Laurent Duvernay-Tardif,kan,2018,3
ElliAl01,Alex Ellis,kan,2018,0
ErviCa00,Cameron Erving,kan,2018,8
FishEr00,Eric Fisher,kan,2018,13
FordDe00,Dee Ford,kan,2018,8
FullKe00,Kendall Fuller,kan,2018,4
HamiJu00,Justin Hamilton,kan,2018,0
HarrDe03,Demetrius Harris,kan,2018,2
HennCh01,Chad Henne,kan,2018,0
HillTy00,Tyreek Hill,kan,2018,18
HitcAn00,Anthony Hitchens,kan,2018,6
HousJu00,Justin Houston,kan,2018,6
HuntKa00,Kareem Hunt,kan,2018,11
JenkJa01,Jarvis Jenkins,kan,2018,1
JoneCh09,Chris Jones,kan,2018,10
KelcTr00,Travis Kelce,kan,2018,14
KempMa00,Marcus Kemp,kan,2018,0
KpasTa00,Tanoh Kpassagnon,kan,2018,1
LucaJo00,Jordan Lucas,kan,2018,2
MahoPa00,Patrick Mahomes,kan,2018,22
MorsMi00,Mitch Morse,kan,2018,7
MurrEr00,Eric Murray,kan,2018,3
MurrJi00,Jimmy Murray,kan,2018,0
NelsSt01,Steven Nelson,kan,2018,5
NiemBe00,Ben Niemann,kan,2018,1
NnadDe00,Derrick Nnadi,kan,2018,4
ODanDo00,Dorian O'Daniel,kan,2018,2
OrchNa00,Nate Orchard,kan,2018,0
ParkRo01,Ron Parker,kan,2018,4
RaglRe00,Reggie Ragland,kan,2018,6
ReitAu00,Austin Reiter,kan,2018,3
RobiDe01,Demarcus Robinson,kan,2018,3
ScanOr99,Orlando Scandrick,kan,2018,2
SchwMi00,Mitchell Schwartz,kan,2018,19
ShawJo00,Josh Shaw,kan,2018,0
SherAn00,Anthony Sherman,kan,2018,1
SmitTe04,Terrance Smith,kan,2018,1
SmitTr04,Tremon Smith,kan,2018,1
SoreDa01,Daniel Sorensen,kan,2018,1
SpeaBr00,Breeland Speaks,kan,2018,3
ThomDe05,De'Anthony Thomas,kan,2018,0
WardCh01,Charvarius Ward,kan,2018,1
WareSp00,Spencer Ware,kan,2018,4
WatkSa00,Sammy Watkins,kan,2018,6
WattAr00,Armani Watts,kan,2018,0
WestCh01,Charcandrick West,kan,2018,0
WillDa05,Damien Williams,kan,2018,4
WillDa10,Darrel Williams,kan,2018,1
WillXa00,Xavier Williams,kan,2018,3
WincJa00,James Winchester,kan,2018,1
WyliAn00,Andrew Wylie,kan,2018,7
YeldDe00,Deon Yelder,kan,2018,0
ZombFr00,Frank Zombo,kan,2018,1
AnkoEl00,Eli Ankou,jax,2018,0
BellBl00,Blake Bell,jax,2018,0
BohaTo00,Tommy Bohanon,jax,2018,0
BordBr00,Breon Borders,jax,2018,0
BortBl00,Blake Bortles,jax,2018,6
BouyA.00,A.J. Bouye,jax,2018,5
BrowBl00,Blair Brown,jax,2018,1
BryaTa00,Taven Bryan,jax,2018,2
CampCa99,Calais Campbell,jax,2018,13
CannA.00,A.J. Cann,jax,2018,5
CharDJ00,DJ Chark,jax,2018,1
CharJa00,Jamaal Charles,jax,2018,0
ChurBa99,Barry Church,jax,2018,5
ColeKe00,Keelan Cole,jax,2018,3
CookLo00,Logan Cooke,jax,2018,2
DareMa00,Marcell Dareus,jax,2018,8
DaviCo02,Cody Davis,jax,2018,1
DelaDe00,Dee Delaney,jax,2018,0
DeLuNi00,Nick DeLuca,jax,2018,2
FlowEr00,Ereck Flowers,jax,2018,2
ForbKa00,Kai Forbath,jax,2018,0
FourLe00,Leonard Fournette,jax,2018,3
FowlDa00,Dante Fowler,jax,2018,1
GipsTa00,Tashaun Gipson,jax,2018,6
GranCo00,Corey Grant,jax,2018,1
GreeRa00,Rashad Greene,jax,2018,0
GrinDa00,David Grinnage,jax,2018,0
HarrRo02,Ronnie Harrison,jax,2018,4
HaydDJ00,D.J. Hayden,jax,2018,3
HernTr00,Tre Herndon,jax,2018,1
HydeCa00,Carlos Hyde,jax,2018,1
JackMy00,Myles Jack,jax,2018,10
JackMa02,Malik Jackson,jax,2018,6
JacoLe00,Leon Jacobs,jax,2018,2
JohnLy00,Lyndon Johnson,jax,2018,0
JoneAb00,Abry Jones,jax,2018,4
KessCo00,Cody Kessler,jax,2018,2
KoyaBe00,Ben Koyack,jax,2018,0
LambJo00,Josh Lambo,jax,2018,3
LindBr00,Brandon Linder,jax,2018,3
McCrLe01,Lerentee McCray,jax,2018,1
MeekQu00,Quenton Meeks,jax,2018,1
MickJa01,Jaydon Mickens,jax,2018,0
MoncDo00,Donte Moncrief,jax,2018,4
NgakYa00,Yannick Ngakoue,jax,2018,9
NorwAn01,Andrew Norwell,jax,2018,3
O'ShJa00,James O'Shaughnessy,jax,2018,1
OmamPa00,Patrick Omameh,jax,2018,2
OverMa00,Matt Overton,jax,2018,1
ParnJe00,Jermey Parnell,jax,2018,4
PatmTy00,Tyler Patmon,jax,2018,1
PaulNi00,Niles Paul,jax,2018,1
PaynDo00,Donald Payne,jax,2018,1
RamsJa00,Jalen Ramsey,jax,2018,10
ReavC.00,C.J. Reavis,jax,2018,0
ReedCh00,Chris Reed,jax,2018,1
RobiCa00,Cam Robinson,jax,2018,1
RobiCo00,Corey Robinson,jax,2018,1
SefeAu00,Austin Seferian-Jenkins,jax,2018,1
ShatTy00,Tyler Shatley,jax,2018,3
SmitTe01,Telvin Smith,jax,2018,10
SmooDa00,Dawuane Smoot,jax,2018,1
SpaiMa00,Martrell Spaight,jax,2018,0
TinkCa00,Carson Tinker,jax,2018,0
WalkJo00,Josh Walker,jax,2018,1
WellJo02,Josh Wells,jax,2018,2
WestDe00,Dede Westbrook,jax,2018,6
WildBr01,Brandon Wilds,jax,2018,0
WillDa011,David Williams,jax,2018,0
WilsJa00,Jarrod Wilson,jax,2018,2
YeldT.00,T.J. Yeldon,jax,2018,5
AdamMi21,Mike Adams,car,2018,6
AddiMa00,Mario Addison,car,2018,7
AlleKy00,Kyle Allen,car,2018,1
AndeC.00,C.J. Anderson,car,2018,1
ArmaAl00,Alex Armah,car,2018,0
ArtiCa00,Cameron Artis-Payne,car,2018,1
BarnKe00,Kenjon Barner,car,2018,0
BradJa00,James Bradberry,car,2018,5
ButlVe00,Vernon Butler,car,2018,1
ByrdDa00,Damiere Byrd,car,2018,0
CadeTr00,Travaris Cadet,car,2018,0
CartJe00,Jermaine Carter Jr.,car,2018,1
CataCh00,Chandler Catanzaro,car,2018,1
ClarCh21,Chris Clark,car,2018,7
CoxxBr01,Bryan Cox Jr.,car,2018,1
DaviTh20,Thomas Davis,car,2018,5
DossLo00,Lorenzo Doss,car,2018,0
EldeCo00,Corn Elder,car,2018,1
FrazMo00,Mose Frazier,car,2018,0
FuncDe00,Devin Funchess,car,2018,5
GanoGr44,Graham Gano,car,2018,3
GaulRa00,Rashaan Gaulden,car,2018,1
GilbGa01,Garrett Gilbert,car,2018,0
HawkJo00,Josh Hawkins,car,2018,0
HaynMa01,Marquis Haynes,car,2018,0
HearTa00,Taylor Hearn,car,2018,0
HeinTa00,Taylor Heinicke,car,2018,1
HortWe00,Wes Horton,car,2018,4
JackDo02,Donte Jackson,car,2018,6
JacoBe00,Ben Jacobs,car,2018,1
JansJ.00,J.J. Jansen,car,2018,2
JoneCo01,Colin Jones,car,2018,2
KaliRy20,Ryan Kalil,car,2018,8
KuecLu00,Luke Kuechly,car,2018,14
LarsTy00,Tyler Larsen,car,2018,3
LoveKy00,Kyle Love,car,2018,2
MahoBr00,Brendan Mahon,car,2018,0
ManhCh00,Chris Manhertz,car,2018,0
MayoDa00,David Mayo,car,2018,2
McCaCh01,Christian McCaffrey,car,2018,16
MoorD.00,D.J. Moore,car,2018,8
MotoTa00,Taylor Moton,car,2018,8
MunnCa99,Captain Munnerlyn,car,2018,3
NewhMa20,Marshall Newhouse,car,2018,2
NewtCa00,Cam Newton,car,2018,14
NorrJa00,Jared Norris,car,2018,0
ObadEf00,Efe Obada,car,2018,1
OlseGr00,Greg Olsen,car,2018,3
PalaMi00,Michael Palardy,car,2018,2
PeppJu99,Julius Peppers,car,2018,4
PoexDo00,Dontari Poe,car,2018,6
ReidEr00,Eric Reid,car,2018,4
RobiCo00,Corey Robinson,car,2018,0
SamuCu00,Curtis Samuel,car,2018,5
SearDa00,Da'Norris Searcy,car,2018,1
ShorKa00,Kawann Short,car,2018,8
SilaAm00,Amini Silatolu,car,2018,1
SmitAn04,Andre Smith,car,2018,0
SmitTo02,Torrey Smith,car,2018,2
ThomIa00,Ian Thomas,car,2018,3
ThomSh01,Shaq Thompson,car,2018,5
TurnTr01,Trai Turner,car,2018,9
VanRGr00,Greg Van Roten,car,2018,8
WillDa06,Daryl Williams,car,2018,1
WrigJa02,Jarius Wright,car,2018,4
AlleJa01,Javorius Allen,rav,2018,2
AndrMa00,Mark Andrews,rav,2018,5
AverAn00,Anthony Averett,rav,2018,1
BoarCh00,Chris Board,rav,2018,1
BowsTy00,Tyus Bowser,rav,2018,1
BoylNi00,Nick Boyle,rav,2018,2
BozeBr00,Bradley Bozeman,rav,2018,2
BrowJo02,John Brown,rav,2018,6
BrowOr00,Orlando Brown Jr.,rav,2018,6
CanaMa00,Maurice Canady,rav,2018,0
CarrBr99,Brandon Carr,rav,2018,7
ClarCh00,Chuck Clark,rav,2018,2
CollAl00,Alex Collins,rav,2018,3
CoxxMo00,Morgan Cox,rav,2018,1
CrabMi00,Michael Crabtree,rav,2018,5
DaniRo01,Robertson Daniel,rav,2018,0
DixoKe00,Kenneth Dixon,rav,2018,2
EdwaGu00,Gus Edwards,rav,2018,4
ElueJe00,Jermaine Eluemunor,rav,2018,1
FlacJo00,Joe Flacco,rav,2018,7
GranJa01,Janarion Grant,rav,2018,0
GrasHr00,Hroniss Grasu,rav,2018,1
GrifRo01,Robert Griffin III,rav,2018,0
HenrWi00,Willie Henry,rav,2018,0
HumpMa00,Marlon Humphrey,rav,2018,4
HursHa00,Hayden Hurst,rav,2018,1
HursJa00,James Hurst,rav,2018,5
JackLa00,Lamar Jackson,rav,2018,8
JeffTo00,Tony Jefferson,rav,2018,6
JoneCy00,Cyrus Jones,rav,2018,2
JudoMa00,Matt Judon,rav,2018,6
KochSa20,Sam Koch,rav,2018,3
LeviAn00,Anthony Levine,rav,2018,1
LewiAl01,Alex Lewis,rav,2018,5
McClAl00,Albert McClellan,rav,2018,1
MontTy01,Ty Montgomery,rav,2018,1
MoorCh00,Chris Moore,rav,2018,2
MoslC.00,C.J. Mosley,rav,2018,15
OnwuPa00,Patrick Onwuasor,rav,2018,8
PierMi00,Michael Pierce,rav,2018,3
RicaPa00,Patrick Ricard,rav,2018,2
SielZa00,Zach Sieler,rav,2018,0
SkurMa01,Matt Skura,rav,2018,8
SmitJi03,Jimmy Smith,rav,2018,5
SmitZa00,Za'Darius Smith,rav,2018,6
SneaWi00,Willie Snead,rav,2018,6
StanRo00,Ronnie Stanley,rav,2018,8
SuggTe99,Terrell Suggs,rav,2018,10
TuckJu00,Justin Tucker,rav,2018,4
TurnDe01,De'Lance Turner,rav,2018,0
UrbaBr00,Brent Urban,rav,2018,9
WeddEr99,Eric Weddle,rav,2018,9
WhitTi00,Tim White,rav,2018,0
WillBr02,Brandon Williams,rav,2018,12
WillDa09,Darious Williams,rav,2018,0
WillMa04,Maxx Williams,rav,2018,1
WillTi00,Tim Williams,rav,2018,1
WormCh00,Chris Wormley,rav,2018,4
YandMa20,Marshal Yanda,rav,2018,13
YounKe03,Kenny Young,rav,2018,4
YounTa01,Tavon Young,rav,2018,5
AlexLo99,Lorenzo Alexander,buf,2018,7
